Tree species,Sc. name,D over bark,D heartwood,Bark thickness
Tree species,Sc. name,[cm],[cm],[cm]
Scots pine ,Pinus sylvestris,18.5,8,0.875
Scots pine ,Pinus sylvestris,21.3,4.3,1.9
Scots pine ,Pinus sylvestris,21.2,5.2,0.975
Scots pine ,Pinus sylvestris,24,5,1.625
Scots pine ,Pinus sylvestris,16,4.7,0.65
Scots pine ,Pinus sylvestris,27.5,4.5,1.75
Scots pine ,Pinus sylvestris,30,7.6,2.2
Scots pine ,Pinus sylvestris,18,4.1,1
Scots pine ,Pinus sylvestris,17.5,6.1,0.975
Scots pine ,Pinus sylvestris,12.2,2.2,0.55
Scots pine ,Pinus sylvestris,18.2,6.3,1.05
Scots pine ,Pinus sylvestris,18,4.5,0.575
Scots pine ,Pinus sylvestris,30,12,1.75
Scots pine ,Pinus sylvestris,22,6.6,1.1
Scots pine ,Pinus sylvestris,14,5.1,0.5
Scots pine ,Pinus sylvestris,17.5,3.8,0.65
Scots pine ,Pinus sylvestris,15,6.5,0.85
Scots pine ,Pinus sylvestris,21,4.9,1.325
Scots pine ,Pinus sylvestris,18.8,5.8,0.9
Scots pine ,Pinus sylvestris,18,6,0.75
Scots pine ,Pinus sylvestris,22.2,4.9,1.7
Scots pine ,Pinus sylvestris,22.5,6.3,1.45
Scots pine ,Pinus sylvestris,12,1.8,0.4
Scots pine ,Pinus sylvestris,15.5,2.8,0.3
Scots pine ,Pinus sylvestris,14.4,3.4,0.4
Scots pine ,Pinus sylvestris,23.5,6.3,2.2
Scots pine ,Pinus sylvestris,13.8,0,0.3
Scots pine ,Pinus sylvestris,19.8,3,1.95
Scots pine ,Pinus sylvestris,13.2,4.8,0.6
Scots pine ,Pinus sylvestris,22.2,5,2.45
Scots pine ,Pinus sylvestris,15.2,4.9,0.55
Scots pine ,Pinus sylvestris,17.2,7,0.6
Scots pine ,Pinus sylvestris,15.1,5.2,0.55
Scots pine ,Pinus sylvestris,21,0,1.35
Scots pine ,Pinus sylvestris,18,6,1.25
Scots pine ,Pinus sylvestris,26.7,8.5,1.75
Scots pine ,Pinus sylvestris,24.2,6.4,1.35
Scots pine ,Pinus sylvestris,22.1,6.2,0.65
Scots pine ,Pinus sylvestris,13.2,4.5,0.6
Scots pine ,Pinus sylvestris,27,6.2,1.5
Scots pine ,Pinus sylvestris,22,4.7,1.25
Scots pine ,Pinus sylvestris,10.8,2.2,0.3
Scots pine ,Pinus sylvestris,17.5,7.3,0.25
Scots pine ,Pinus sylvestris,9.8,0.2,0.4
Scots pine ,Pinus sylvestris,10.2,2.1,0.3
Scots pine ,Pinus sylvestris,13.5,2.8,0.25
Scots pine ,Pinus sylvestris,15,2.2,0.3
Scots pine ,Pinus sylvestris,19.8,2.2,1.3
Scots pine ,Pinus sylvestris,13.6,4,0.3
Scots pine ,Pinus sylvestris,12.8,6.5,0.4
Scots pine ,Pinus sylvestris,15,2.9,0.7
Scots pine ,Pinus sylvestris,21.8,4.6,1.1
Scots pine ,Pinus sylvestris,18,2,0.75
Scots pine ,Pinus sylvestris,14.2,3.4,0.6
Scots pine ,Pinus sylvestris,31.2,14,1
Scots pine ,Pinus sylvestris,33.4,12.6,1.1
Scots pine ,Pinus sylvestris,23.6,14,0.8
Scots pine ,Pinus sylvestris,35.9,14,2.2
Scots pine ,Pinus sylvestris,29.2,17.4,0.6
Scots pine ,Pinus sylvestris,30.8,13,1.3
Scots pine ,Pinus sylvestris,42,19.3,1.5
Scots pine ,Pinus sylvestris,25.3,11,0.3
Scots pine ,Pinus sylvestris,29.4,17.4,0.4
Scots pine ,Pinus sylvestris,42.7,22.2,2.1
Scots pine ,Pinus sylvestris,42.7,12.3,1.5
Scots pine ,Pinus sylvestris,38.9,21.2,1.7
Scots pine ,Pinus sylvestris,42,10,2
Scots pine ,Pinus sylvestris,32.5,12.5,0.9
Scots pine ,Pinus sylvestris,45.5,20,2.65
Scots pine ,Pinus sylvestris,33.5,14,1.25
Scots pine ,Pinus sylvestris,30,12,0.5
Scots pine ,Pinus sylvestris,22.5,12.7,0.3
Scots pine ,Pinus sylvestris,26,10,0.4
Scots pine ,Pinus sylvestris,38.8,9.8,1.4
Scots pine ,Pinus sylvestris,32.5,15,0.8
Scots pine ,Pinus sylvestris,28.5,8.5,2.15
Scots pine ,Pinus sylvestris,20.7,10.5,0.3
Scots pine ,Pinus sylvestris,26,11.9,0.95
Scots pine ,Pinus sylvestris,23,13.5,0.4
Scots pine ,Pinus sylvestris,39,9.5,2.5
Scots pine ,Pinus sylvestris,34.4,12,1.35
Scots pine ,Pinus sylvestris,28,12,0.25
Scots pine ,Pinus sylvestris,17,9.5,0.3
Scots pine ,Pinus sylvestris,17.5,9.3,0.35
Scots pine ,Pinus sylvestris,21.5,9.2,0.4
Scots pine ,Pinus sylvestris,15.4,6.5,0.4
Scots pine ,Pinus sylvestris,43,13,3
Scots pine ,Pinus sylvestris,33.8,15,1.15
