sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches
sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C
1,NPDHV1,Scots pine ,Pinus sylvestris,Hd30,poor,52.0368,5.8324,1.94,0.4,0.21,0.12,0.38,6.21,555,0.63,0.5,0.25,0.04,0.09,1.79,499,1.16,0.3,0.23,0.01,0.08,1.95,565,NA,NA,NA,NA,NA,NA,NA,5.23,1.8,1.11,0.58,0.54,8.07,516,0.91,0.5,0.28,0.07,0.12,2.22,506,1.62,1.8,0.57,0.33,0.46,5.3,531
2,NPDHV2,Douglas fir ,Pseudotsuga menziesii,Hd30,poor,52.0344,5.8348,2.25,1.2,0.3,0.17,0.31,4.05,544,0.45,0.6,0.1,0.08,0.09,1.68,499,0.17,0,0.01,0.01,0.06,1.63,509,NA,NA,NA,NA,NA,NA,NA,6.99,1.7,0.8,0.4,0.4,5.12,520,0.65,0.3,0.14,0.04,0.08,1.7,517,4.7,0.8,0.54,0.29,0.3,3.8,516
3,LDGTW1,Scots pine ,Pinus sylvestris,Hn23,moderate,52.2763,6.7427,1.42,0.8,0.13,0.13,0.3,5.93,549,0.53,0.5,0.16,0.05,0.1,1,500,0.8,0.4,0.22,0.03,0.09,1.35,549,NA,NA,NA,NA,NA,NA,NA,6.64,3.2,0.98,0.59,0.53,6.84,499,1.08,0.6,0.32,0.06,0.12,1.36,510,2.33,1.9,0.37,0.3,0.48,5.61,523
4,LDGTW1,Norway spruce ,Picea abies,Hn23,moderate,52.2763,6.7427,7.89,3.5,0.87,0.53,0.47,6.26,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.4,0.11,0.04,0.06,1.31,511,9.35,3,0.93,0.71,0.57,8.14,499,0.81,0.6,0.15,0.1,0.09,1.54,501,2.2,2.1,0.42,0.39,0.53,5.13,507
5,LDGTW2,Japanese larch,Larix kaempferi,Hn21,poor,52.2533,6.6823,3,1.5,0.58,0.24,0.34,5.27,533,0.28,0.1,0.06,0.01,0.05,1.37,513,0.27,0.3,0.09,0.03,0.05,1.19,507,NA,NA,NA,NA,NA,NA,NA,3.92,2.8,1.04,0.4,0.35,4.68,515,0.68,0.4,0.24,0.03,0.06,1.37,505,2.05,1.8,0.51,0.28,0.26,3.9,517
6,SBBAB1,Beech ,Fagus sylvatica,Y30,moderate,52.0047,5.4927,9.14,2.4,0.53,0.35,0.42,8.91,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,1,0.32,0.08,0.1,1.51,489,6.11,1.6,0.44,0.27,0.35,6.24,512,0.66,1.1,0.39,0.1,0.11,1.82,488,2.09,1.2,0.41,0.33,0.34,5.38,498
7,SBBAB2,Japanese larch,Larix kaempferi,Y30,moderate,52.0095,5.4852,1.41,0.6,0.22,0.12,0.26,4.54,540,0.29,0.2,0.09,0.04,0.05,1,495,0.27,0.2,0.06,0.01,0.05,1.23,504,NA,NA,NA,NA,NA,NA,NA,5.14,2.5,0.64,0.48,0.38,5.48,510,1.08,0.4,0.41,0.03,0.06,1.03,499,3.31,1.6,0.52,0.33,0.29,4.26,517
8,SBBAB3,Douglas fir ,Pseudotsuga menziesii,Y30,moderate,52.0083,5.4873,1.11,0.5,0.11,0.1,0.2,3.03,580,0.26,0.3,0.06,0.05,0.06,1.16,497,0.14,0,0.01,0.01,0.06,2.1,530,NA,NA,NA,NA,NA,NA,NA,3.9,2.3,0.76,0.49,0.42,5.42,508,0.8,0.3,0.23,0.04,0.09,1.43,507,1.83,1.4,0.41,0.3,0.25,3.5,505
9,SBBAB4,Scots pine ,Pinus sylvestris,Y30,moderate,52.0134,5.4972,3.56,1,0.3,0.17,0.34,6.18,539,0.37,0.3,0.12,0.05,0.08,1.38,497,0.58,0.3,0.16,0.02,0.06,1.2,504,NA,NA,NA,NA,NA,NA,NA,4.44,2.2,1.65,0.55,0.62,7.73,504,0.81,0.4,0.27,0.05,0.1,1.5,519,1.69,1.2,0.37,0.25,0.32,4.26,537
